Date,Open,High,Low,Close,Adj Close,Volume
2007-12-20,108.820000,108.820000,106.330002,107.720001,75.257866,1835200
2007-12-21,108.760002,110.529999,108.360001,110.480003,77.186096,2314700
2007-12-24,110.010002,111.680000,110.010002,111.279999,77.745041,456800
2007-12-26,111.000000,111.459999,108.900002,109.529999,76.522438,981900
2007-12-27,109.300003,109.430000,107.540001,107.720001,75.257866,1208500
2007-12-28,107.559998,108.839996,106.349998,106.779999,74.601135,1488800
2007-12-31,106.309998,107.250000,105.260002,105.260002,73.539192,1329500
2008-01-02,105.769997,107.199997,104.940002,105.349998,73.602089,2753000
2008-01-03,105.489998,108.809998,104.709999,107.930000,75.404572,2435800
2008-01-04,107.230003,107.370003,105.629997,106.500000,74.405533,2319100
2008-01-07,107.360001,107.940002,104.930000,106.260002,74.237854,2749500
2008-01-08,106.260002,108.209999,106.169998,106.300003,74.265808,3160500
2008-01-09,106.879997,108.769997,106.419998,108.529999,75.823761,2602400
2008-01-10,107.930000,109.879997,107.320000,108.540001,75.830765,2639600
2008-01-11,107.580002,110.250000,107.500000,109.459999,76.473518,3117000
2008-01-14,110.120003,110.120003,107.150002,108.089996,75.516380,2724500
2008-01-15,106.970001,108.629997,106.379997,106.809998,74.622139,3033600
2008-01-16,106.110001,107.099998,105.160004,105.860001,73.958397,3042400
2008-01-17,105.970001,107.120003,101.930000,102.150002,71.366432,3592600
2008-01-18,102.650002,104.330002,101.070000,101.879997,71.177788,3291200
2008-01-22,97.010002,102.180000,90.440002,101.019997,70.576935,4440500
2008-01-23,98.309998,102.040001,97.059998,101.690002,71.045052,3977200
2008-01-24,102.739998,106.809998,102.110001,105.900002,73.986320,3713600
2008-01-25,107.070000,107.070000,104.970001,105.489998,73.699890,3280100
2008-01-28,105.430000,107.050003,105.430000,106.870003,74.664017,2832200
2008-01-29,107.019997,107.470001,105.900002,106.440002,74.363617,1992000
2008-01-30,106.919998,108.449997,106.269997,106.529999,74.426476,2171900
2008-01-31,105.309998,108.349998,104.599998,107.919998,75.397629,2894100
2008-02-01,108.169998,109.800003,106.870003,108.120003,75.537354,2658200
2008-02-04,108.150002,110.150002,106.010002,109.779999,76.697052,2666700
2008-02-05,109.349998,109.660004,107.139999,107.769997,75.292801,2364800
2008-02-06,108.720001,108.720001,105.180000,105.599998,73.776749,2369400
2008-02-07,104.949997,106.940002,104.620003,105.830002,73.937439,2981000
2008-02-08,105.820000,106.260002,104.760002,105.760002,73.888512,1725800
2008-02-11,105.540001,107.790001,105.529999,107.610001,75.181023,1583300
2008-02-12,108.059998,108.059998,106.599998,107.209999,74.901566,2208900
2008-02-13,107.209999,109.150002,107.010002,108.870003,76.061317,1871400
2008-02-14,108.739998,109.500000,106.599998,107.099998,74.824707,1293300
2008-02-15,107.070000,107.519997,105.000000,105.760002,73.888512,2095600
2008-02-19,106.760002,108.000000,105.809998,107.339996,74.992401,1814800
2008-02-20,106.610001,107.320000,105.849998,107.070000,74.803741,1270300
2008-02-21,107.239998,107.940002,104.739998,105.000000,73.357559,2958700
2008-02-22,105.269997,105.510002,103.169998,105.120003,73.441399,1678600
2008-02-25,105.389999,106.639999,104.279999,106.629997,74.496346,1749500
2008-02-26,105.900002,106.449997,105.330002,105.949997,74.021271,1712800
2008-02-27,105.400002,106.720001,105.110001,105.360001,73.609077,1693800
2008-02-28,104.650002,105.800003,103.650002,105.160004,73.763405,1833500
2008-02-29,104.000000,104.330002,102.870003,103.199997,72.388550,1958900
2008-03-03,103.269997,104.000000,102.410004,104.000000,72.949730,1731000
